0 12308.90
1 12305.25
2 12297.95
3 12287.01
4 12272.42
5 12254.19
6 12232.33
7 12206.83
8 12177.71
9 12144.97
10 12108.61
11 12068.66
12 12025.11
13 11977.98
14 11927.28
15 11873.01
16 11815.20
17 11753.86
18 11689.00
19 11620.63
20 11548.78
21 11473.46
22 11394.68
23 11312.48
24 11226.86
25 11137.85
26 11045.48
27 10949.76
28 10850.71
29 10748.37
30 10642.76
31 10553.91
32 10421.84
33 10306.58
34 10118.16
35 10066.62
36 9941.99
37 9814.29
38 9683.56
39 9549.85
40 9413.17
41 9273.58
42 9131.11
43 8985.79
44 8837.67
45 8686.79
46 8533.19
47 8376.92
48 8218.01
49 8056.52
50 7892.49
51 7725.96
52 7556.99
53 7385.63
54 7211.92
55 7035.91
56 6857.67
57 6677.23
58 6494.67
59 6310.02
